Subj01,Subj02,Subj03,Gen. Average,Remarks,YRGRAD,TE,REGION/PROVINCE/CITY,SEX,# OF TAKES CORREL 1,# OF TAKES CORREL 2,# OF TAKES CORREL 3,GRADE IN CORREL 1,GRADE IN CORREL 2,GRADE IN CORREL 3
62,71,65,65.75,FAILED,1222,2,1,0,1,6,1,0.5,1,1
75,86,71,76.9,PASSED,623,1,1,1,1,1,2,3,2.5,1
62,75,46,60.3,FAILED,323,1,,,,,,,,
82,89,75,81.65,PASSED,323,1,0,0,1,1,2,2,2.5,1
75,78,65,72.4,PASSED,1119,1,1,0,1,1,1,1,0.5,1.5
46,67,41,50.55,FAILED,422,1,0,0,,1,2,,1,1.5
60,56,46,53.9,FAILED,520,2,1,1,,1,3,,0,1
71,86,72,75.85,PASSED,323,1,1,1,1,1,2,1,1,1
57,70,54,59.85,FAILED,723,1,0,1,2,6,2,1,1,1
72,77,62,70,PASSED,323,1,0,0,3,5,1,1,1,1
52,42,28,40.6,FAILED,719,1,,,,,,,,
70,84,78,77,PASSED,623,1,0,1,1,1,2,2,2,1
77,90,78,81.25,PASSED,623,1,1,1,1,1,1,2.5,1,1
64,75,57,64.85,FAILED,1222,1,1,1,1,1,1,1,1,1.5
74,84,75,77.35,PASSED,1221,2,1,0,3,1,1,1,1,1
69,76,59,67.6,FAILED,323,1,1,1,2,1,1,1,2.5,1
56,74,47,58.25,FAILED,1221,2,0,0,,1,1,,1,1
52,64,47,53.85,FAILED,922,2,1,1,,4,1,,1,1
74,39,52,55.8,FAILED,719,1,1,1,,1,,,1,
55,62,41,52.2,FAILED,722,1,1,0,1,1,1,1.5,1,1
66,88,72,74.7,PASSED,1221,2,1,1,1,2,1,0,1,1
64,70,41,57.75,FAILED,1213,2,1,1,,,,,,
77,88,78,80.65,PASSED,623,1,1,0,1,1,2,2.5,3,1
74,86,81,80.05,PASSED,323,1,0,1,1,1,1,1,2,1
86,95,91,90.45,PASSED,323,1,1,1,1,2,1,3,1.5,1.5
75,89,81,81.3,PASSED,323,1,1,1,2,3,2,1.5,1,1
50,39,44,44.6,FAILED,323,1,1,0,1,1,2,1,1,1
72,90,74,78.1,PASSED,323,1,0,1,1,1,1,2.5,1,1
78,90,82,83,PASSED,323,1,0,1,1,2,1,2.5,1,1
88,95,89,90.45,PASSED,1222,1,0,1,1,1,1,3,3,1
70,84,65,72.45,PASSED,1222,1,0,1,,,1,,,1.5
64,84,75,73.85,PASSED,323,1,0,0,1,4,1,1,1,1
74,83,73,76.35,PASSED,922,2,0,1,3,2,4,1,1,1
77,90,77,80.9,PASSED,1222,1,1,1,1,1,1,3,3,1
62,48,52,54.3,FAILED,422,2,1,1,,1,2,,1,2
